1680691799798.0,0.0,9.43,9.22,9.06,11.4,13.0,15.23,17.46,18.38,18.38,19.31,18.97,18.68,17.26,14.14,12.04,8.06,5.39,5.39,8.06,12.17,15.13,18.0,21.1,22.56,22.85,21.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.93,12.65,12.65,11.4,12.17,11.0,12.04,13.15,13.34,14.56,14.56,14.87,13.93,14.76,14.42,15.62,15.62,17.03,17.69,17.69,17.69,16.28,14.87,12.73
1680691799830.0,0.0,8.6,7.21,8.25,10.05,12.0,14.04,15.03,16.03,17.0,17.0,17.03,16.03,15.13,13.15,10.44,7.07,5.1,4.24,7.07,10.05,13.15,16.76,19.31,20.59,20.62,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,12.73,12.73,12.04,11.31,10.63,11.4,13.04,10.77,12.65,12.37,13.15,13.15,11.05,13.04,13.0,13.15,13.34,14.56,15.52,15.52,15.81,15.81,13.6,13.6,11.7
1680691799958.0,0.0,8.49,8.94,9.22,11.0,13.04,16.12,17.12,18.11,19.1,19.03,20.0,18.0,16.03,14.14,11.18,8.06,5.1,4.47,8.0,11.05,15.03,18.44,20.88,21.93,21.63,21.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,14.87,14.14,14.14,13.45,11.4,11.66,11.18,11.7,12.37,13.15,14.04,14.04,15.0,14.04,15.13,14.32,14.87,16.76,17.09,18.03,17.09,17.09,16.16,14.87,12.08
1680691799958.0,0.0,8.25,12.17,10.77,11.18,14.76,16.28,19.1,20.0,20.0,19.85,20.25,18.03,17.49,16.12,12.08,8.94,6.4,4.12,7.28,9.85,13.0,18.03,19.42,22.02,22.02,21.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,13.04,13.04,13.04,12.04,11.18,11.4,10.77,11.18,13.04,13.04,13.6,14.21,13.45,13.45,15.81,15.0,15.65,14.76,16.55,17.0,16.64,16.55,16.12,12.81,12.53
1680691799959.0,0.0,10.0,9.49,9.43,10.63,11.4,15.0,16.4,17.2,17.8,19.21,19.1,17.69,16.28,14.21,12.21,8.6,5.66,4.0,6.4,9.9,13.45,16.4,18.87,20.62,20.62,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,14.32,14.32,13.34,13.34,12.65,12.08,12.53,12.21,14.21,14.14,14.14,14.87,15.62,14.21,15.26,14.76,16.16,16.16,17.09,17.72,17.72,18.03,16.76,15.23,12.37
1680691799959.0,0.0,10.2,9.85,10.0,11.4,13.04,15.26,17.0,18.36,19.72,18.87,19.42,17.2,17.03,14.87,12.73,9.9,5.83,4.12,7.07,10.63,14.21,16.97,19.21,20.59,22.14,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,15.23,14.87,13.93,13.0,13.42,13.04,12.81,13.45,14.21,15.0,15.81,15.81,15.26,14.76,16.16,15.81,16.49,17.26,18.25,18.25,19.24,18.25,17.26,16.28,14.14
1680691799960.0,0.0,10.2,9.85,10.0,11.4,13.04,15.26,17.0,18.36,19.72,18.87,19.42,17.2,17.03,14.87,12.73,9.9,5.83,4.12,7.07,10.63,14.21,16.97,19.21,20.59,22.14,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,15.23,14.87,13.93,13.0,13.42,13.04,12.81,13.45,14.21,15.0,15.81,15.81,15.26,14.76,16.16,15.81,16.49,17.26,18.25,18.25,19.24,18.25,17.26,16.28,14.14
1680691799960.0,0.0,10.2,10.3,11.31,12.81,14.42,16.12,18.36,19.72,19.72,19.42,20.0,19.21,17.8,15.56,12.73,9.22,6.71,5.1,7.81,11.31,14.14,18.44,20.25,22.36,23.09,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,13.93,13.93,13.0,13.0,12.08,11.66,11.4,12.04,12.73,14.21,14.21,14.42,14.76,14.76,14.87,15.52,16.28,17.26,18.25,18.44,19.24,17.26,17.26,15.3,13.15
1680691799960.0,0.0,10.2,10.3,11.31,12.81,14.42,16.12,18.36,19.72,19.72,19.42,20.0,19.21,17.8,15.56,12.73,9.22,6.71,5.1,7.81,11.31,14.14,18.44,20.25,22.36,23.09,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,13.93,13.93,13.0,13.0,12.08,11.66,11.4,12.04,12.73,14.21,14.21,14.42,14.76,14.76,14.87,15.52,16.28,17.26,18.25,18.44,19.24,17.26,17.26,15.3,13.15
1680691799974.0,0.0,10.63,10.0,10.77,12.37,14.04,16.03,18.03,18.03,20.1,19.1,20.22,18.44,17.72,15.81,12.65,10.44,6.0,5.83,8.06,12.08,15.23,18.36,20.0,22.63,22.2,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,12.81,12.81,12.81,11.4,11.66,11.18,10.77,11.4,12.17,14.14,15.13,14.04,15.03,14.0,15.13,15.3,14.56,15.81,16.76,17.09,17.09,15.81,16.16,14.87,13.93
